source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
org_units,departments,0.9579,org_units.unit_pk,departments.dept_id,0.9457
org_units,departments,0.9579,org_units.unit_title,departments.dept_name,0.9346
org_units,departments,0.9579,org_units.site_fk,departments.dept_id,0.9375
org_units,departments,0.9579,org_units.unit_head,departments.dept_name,0.9715
org_units,departments,0.9579,org_units.created_on,departments.created_at,1.0
staff,departments,0.9248,staff.staff_pk,departments.dept_id,0.9121
staff,departments,0.9248,staff.staff_fullname,departments.dept_name,0.9145
staff,departments,0.9248,staff.unit_fk,departments.dept_id,0.8899
staff,departments,0.9248,staff.role_name,departments.dept_name,0.9219
staff,departments,0.9248,staff.joining_date,employees.hire_date,0.9858
site_master,locations,0.8019,site_master.site_pk,locations.location_id,0.7345
site_master,locations,0.8019,site_master.site_title,departments.dept_name,0.8285
site_master,locations,0.8019,site_master.nation,locations.country,0.75
site_master,locations,0.8019,site_master.region,locations.state,0.75
site_master,locations,0.8019,site_master.created_on,departments.created_at,0.9466
learning_records,trainings,0.7825,learning_records.learning_pk,trainings.emp_id,0.7321
learning_records,trainings,0.7825,learning_records.staff_fk,departments.dept_id,0.851
learning_records,trainings,0.7825,learning_records.course_name,departments.dept_name,0.8398
learning_records,trainings,0.7825,learning_records.course_dt,employees.hire_date,0.7881
learning_records,trainings,0.7825,learning_records.completion_status,trainings.status,0.7016
event_log,incidents,0.7572,event_log.event_pk,incidents.incident_id,0.7382
event_log,incidents,0.7572,event_log.staff_fk,employees.dept_id,0.75
event_log,incidents,0.7572,event_log.event_dt,employees.hire_date,0.7976
event_log,incidents,0.7572,event_log.event_category,incidents.incident_type,0.75
event_log,incidents,0.7572,event_log.risk_level,incidents.severity,0.75
audit_checks,inspections,0.7566,audit_checks.audit_pk,inspections.score,0.7255
audit_checks,inspections,0.7566,audit_checks.site_fk,inspections.location_id,0.75
audit_checks,inspections,0.7566,audit_checks.audit_dt,employees.hire_date,0.8546
audit_checks,inspections,0.7566,audit_checks.auditor,inspections.inspector_name,0.7231
audit_checks,inspections,0.7566,audit_checks.audit_score,inspections.score,0.73
